id,name,description
1,A Cộng B,"Viết chương trình cho phép nhập 2 số nguyên *a* và *b* từ bàn phím. **Yêu cầu:** Tính và in ra kết quả a + b. **Input** ---------- * 2 số nguyên a và b cách nhau một khoảng trống. Giới hạn: * |a|, |b| <= 1000. **Output** ---------- * Gồm một số duy nhất là kết quả a + b. **Ví dụ** ---------- **Input #1** ``` 1 2 ``` **Output #1** ``` 3 ``` ---------- **Input #2** ``` 10 16 ``` **Output #2** ``` 26 ```"
2,Hello world,"Xin chào bạn đến với thế giới lập trình. **Yêu cầu:** In ra dòng chữ: Hello World! **Input** ---------- Không có dữ liệu đầu vào. **Output** ---------- Dòng chữ """"Hello World!"""" không có dấu nháy kép. **Ví dụ** ---------- **Input #1** ``` ``` **Output #1** ``` Hello World! ```"
3,Tổng ước nguyên tố - Olympic Tin học TVU 2024,**Ví dụ** ---------- **Input #1** ``` 12 ``` **Output #1** ``` 5 ```
4,Tiền thừa - Olympic Tin học TVU 2024,**Ví dụ** ---------- **Input #1** ``` 273000 ``` **Output #1** ``` 7 ```
5,Chú ếch - Olympic Tin học TVU 2024,**Ví dụ** ---------- **Input #1** ``` 4 1 4 5 3 ``` **Output #1** ``` 4 ```
6,Ba ước số,"Cho số tự nhiên N. Yêu cầu: hãy liệt kê tất cả các số không quá N và số đó có đúng ba ước số. Ví dụ: N = 50, có các số 4, 9, 25, 49. **Input** ---------- * Một số nguyên dương n duy nhất (1 <= n <= 10^12). **Output** ---------- * Đưa ra kết quả là danh sách các số thỏa mãn yêu cầu đề bài, mỗi số cách nhau 1 khoảng trống. **Ví dụ** ---------- **Input #1** ``` 50 ``` **Output #1** ``` 4 9 25 49 ``` **Input #2** ``` 200 ``` **Output #2** ``` 4 9 25 49 121 169 ```"
7,Kiểm tra số nguyên tố,"Số nguyên tố là số tự nhiên chỉ chia hết cho 1 và cho chính nó. Ví dụ: 2, 3, 5, 7, 11... là các số nguyên tố. 4, 6, 8... không là số nguyên tố. **Yêu cầu:** Cho một số nguyên dương N, kiểm tra xem số đó có phải là số nguyên tố hay không. **Input** ---------- * Một số nguyên dương n duy nhất (1 <= n <= 10^12). **Output** ---------- * In ra chữ """"YES"""" nếu nó là số nguyên tố, ngược lại in ra """"NO"""". **Ví dụ** ---------- **Input #1** ``` 11 ``` **Output #1** ``` YES ``` **Input #2** ``` 4 ``` **Output #2** ``` NO ```"
8,Lũy thừa,"Viết chương trình tính lũy thừa x^n. **Input** ---------- * Một dòng duy nhất gồm 2 số nguyên dương x và n, mỗi số cách nhau 1 khoảng trống (1 <= x, n<= 10^9). **Output** ---------- * In ra kết quả x^n sau khi đã được module cho 10^9 + 7. **Ví dụ** ---------- **Input #1** ``` 2 3 ``` **Output #1** ``` 8 ``` **Input #2** ``` 3 2 ``` **Output #2** ``` 9 ```"
10,Tìm số dư,"Viết chương trình nhập vào 2 số nguyên **a** và **b**. Tìm và in ra phần dư của **a** chia **b**. Input ---------- Gồm 1 dòng duy nhất là 2 số nguyên a và b cách nhau bởi khoảng trắng (1 <= a, b <= 10000). Output ---------- Một số duy nhất là giá trị tìm được. Ví dụ ---------- **Input** ``` 5 2 ``` **Output** ``` 1 ```"
11,Tìm số lớn nhất trong mảng,Cho mảng số nguyên A có n phần tử (1 <= n <= 1000
12,A Cộng B Pro Max,"Cho hai số nguyên không âm *a* và *b*. Hãy tính *a + b*. Input ---------- - Dòng đầu chứa số a. - Dòng thứ hai chứa số b. **Giới hạn:** - 0 <= a, b <= 10^100000 Output ---------- - Gồm một dòng duy nhất là kết quả *a + b*. Ví dụ ---------- **Input** ``` 123 4567 ``` **Output** ``` 4690 ```"
13,Đường ray tàu hỏa S,**Ví dụ** ---------- **Input #1** ``` 4 1 3 4 2 ``` **Output #1** ``` YES ``` ---------- **Input #2** ``` 5 2 3 5 4 1 ``` **Output #2** ``` YES ``` ---------- **Input #3** ``` 5 1 4 2 3 5 ``` **Output #3** ``` NO ```
15,Nghệ thuật trừu tượng,![Anh](/martor/491d35a3-db72-4c27-9be0-27ed6084da74.png) Ví dụ ---------- **Input** ``` 4 4 2 3 5 3 2 1 2 2 3 4 3 4 2 1 3 3 ``` **Output** ``` 13 ```
16,Lại là ếch đây,**Ví dụ** ---------- **Input** ``` 5 3 10 30 40 50 20 ``` **Output** ``` 30 ```
17,Bộ ba Pytago,Ví dụ ---------- **Input** ``` 2 10 ``` **Output** ``` 2 ```
18,Cửa hàng năng lượng thông minh,**Ví dụ** ---------- **Input** ``` 5 2 4 1 7 10 9 2 4 1 10 ``` **Output** ``` 1 3 ```
19,Bộ ba Pytago 2,Ví dụ 1 ---------- **Input** ``` 7 7 5 9 10 0 8 6 ``` **Output** ``` 1 ``` Ví dụ 2 ---------- **Input** ``` 9 2 3 8 5 6 7 4 9 10 ``` **Output** ``` 2 ```
20,Số đầu cuối,"Số đầu cuối là một số nguyên dương có chữ số đầu và chữ số cuối giống nhau. Ví dụ: 1, 2, 3, 5, 8, 22, 101,... là các số đầu cuối, còn 0, 23, 192, ... không phải là số đầu cuối. **Yêu cầu:** Viết chương trình nhập vào từ bàn phím một số nguyên dương n, hãy đếm xem có bao nhiêu số đầu cuối nhỏ hơn hay bằng n. **Input** ---------- * Một số nguyên dương n duy nhất (1 <= n <= 10^12). **Output** ---------- * Một số nguyên dương duy nhất: số lượng số đầu cuối nhỏ hơn hay bằng n . Ví dụ 1 ---------- **Input** ``` 7 ``` **Output** ``` 7 ``` Ví dụ 2 ---------- **Input** ``` 75 ``` **Output** ``` 15 ``` Ví dụ 3 ---------- **Input** ``` 305 ``` **Output** ``` 39 ```"
21,Số đầu cuối 2,"Số đầu cuối là một số nguyên dương có chữ số đầu và chữ số cuối giống nhau. Ví dụ: 1, 2, 3, 5, 8, 22, 101,... là các số đầu cuối, còn 0, 23, 3112, ... không phải là số đầu cuối. **Yêu cầu:** Viết chương trình nhập vào từ bàn phím hai số nguyên dương m và n, hãy đếm xem có bao nhiêu số đầu cuối trong đoạn [m , n]. **Input** ---------- * Hai số nguyên dương m và n cách nhau khoảng trắng (1 <= m < n <= 10^12). **Output** ---------- * Một số nguyên dương duy nhất: số lượng các số đầu cuối k (m <= k <= n). Ví dụ 1 ---------- **Input** ``` 5 7 ``` **Output** ``` 3 ``` Ví dụ 2 ---------- **Input** ``` 12 75 ``` **Output** ``` 5 ``` Ví dụ 3 ---------- **Input** ``` 141 305 ``` **Output** ``` 17 ```"
24,I love TVU,"Viết chương trình in ra màn hình dòng chữ """"I love TVU"""". **Input** ---------- Không có dữ liệu đầu vào. **Output** ---------- I love TVU"
25,In giá trị 3 biến,"Viết chương trình khai báo 3 biến a, b, c lần lượt có kiểu dữ liệu là int, float và char. Khởi tạo giá trị cho 3 biến lần lượt là 100, 8.95 và , sau đó in giá trị của các biến ra màn hình theo định dạng như sau: So nguyen: 100 So thuc: 8.95 Ky tu: C **Input** ---------- Không có dữ liệu đầu vào. **Output** ---------- So nguyen: 100 So thuc: 8.95 Ky tu: C"
26,Tính diện tích xung quanh sân trường,"Viết chương trình giải bài toán sau: Sân trường hình thang có đáy lớn là 50 m, đáy bé là 23m và chiều cao 30 m. Giữa sân, người ta xây một bồn hoa hình tròn có chu vi 12.56 m. Tính diện tích còn lại của sân trường? **Input** ---------- Không có dữ liệu đầu vào. **Output** ---------- Diện tích phần còn lại (làm tròn đến 2 số lẻ) ---------- **Lưu ý:** Số PI = 3.14"
27,Tính doanh thu,"Viết chương trình giải bài toán sau: Công ty A cần tính doanh thu trong ngày dựa trên số lượng hàng, đơn giá và chi phí vận chuyển như sau: Doanh thu = số lượng * đơn giá – chi phí vận chuyển. Với số lượng, đơn giá và chi phí vận chuyển được nhập từ bàn phím **Input** ---------- * Số nguyên dương SL (0 < SL <= 10^3) : số lượng * Số nguyên dương DG (10^3 <= DG <= 10^8) : đơn giá * Số nguyên dương CP (10^3 <= CP <= 10^8) : chi phí vận chuyển **Output** ---------- * Số nguyên dương duy nhất DT : doanh thu **Ví dụ** ---------- **Input** ``` 10 150000 50000 ``` **Output** ``` 1450000 ```"
28,Đường ray tàu hỏa Q,**Ví dụ** ---------- **Input #1** ``` 4 1 3 4 2 ``` **Output #1** ``` YES ``` ---------- **Input #2** ``` 5 2 3 5 4 1 ``` **Output #2** ``` NO ``` ---------- **Input #3** ``` 5 1 4 2 3 5 ``` **Output #3** ``` YES ```
29,Nhập và xuất chuỗi ký tự,Viết chương trình khai báo 3 biến gồm: mã số sinh viên (kiểu chuỗi ký tự
