id,name,description
1,A Cộng B,"Viết chương trình cho phép nhập 2 số nguyên *a* và *b* từ bàn phím.\\r\\n\\r\\n**Yêu cầu:** Tính và in ra kết quả a + b.\\r\\n\\r\\n**Input**\\r\\n----------\\r\\n\\r\\n* 2 số nguyên a và b cách nhau một khoảng trống.\\r\\n\\r\\nGiới hạn:\\r\\n    \\r\\n\\r\\n* |a|, |b| <= 1000.\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* Gồm một số duy nhất là kết quả a + b.\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n1 2\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\n3\\r\\n```\\r\\n\\r\\n\\r\\n----------\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n10 16\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\n26\\r\\n```"
2,Hello world,"Xin chào bạn đến với thế giới lập trình.\\r\\n\\r\\n**Yêu cầu:** In ra dòng chữ: Hello World!\\r\\n\\r\\n**Input**\\r\\n----------\\r\\n\\r\\nKhông có dữ liệu đầu vào.\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\nDòng chữ \\""""Hello World!\\"""" không có dấu nháy kép.\\r\\n\\r\\n**Ví dụ** \\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n```\\r\\n\\r\\n**Output #1**\\r\\n```\\r\\nHello World!\\r\\n```"
3,Tổng ước nguyên tố - Olympic Tin học TVU 2024,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n12\\r\\n```\\r\\n\\r\\n**Output #1**\\r\\n```\\r\\n5\\r\\n```
4,Tiền thừa - Olympic Tin học TVU 2024,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n273000\\r\\n```\\r\\n\\r\\n**Output #1**\\r\\n```\\r\\n7\\r\\n```
5,Chú ếch - Olympic Tin học TVU 2024,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n4\\r\\n1 4 5 3\\r\\n```\\r\\n\\r\\n**Output #1**\\r\\n```\\r\\n4\\r\\n```
6,Ba ước số,"Cho số tự nhiên N. Yêu cầu: hãy liệt kê tất cả các số không quá N và số đó có đúng ba ước số.\\r\\nVí dụ: N = 50, có các số 4, 9, 25, 49.\\r\\n\\r\\n**Input** \\r\\n----------\\r\\n* Một số nguyên dương n duy nhất (1 <= n <= 10^12).\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* Đưa ra kết quả là danh sách các số thỏa mãn yêu cầu đề bài, mỗi số cách nhau 1 khoảng trống.\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n**Input #1**\\r\\n```\\r\\n50\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\n4 9 25 49\\r\\n```\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n200\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\n4 9 25 49 121 169\\r\\n```"
7,Kiểm tra số nguyên tố,"Số nguyên tố là số tự nhiên chỉ chia hết cho 1 và cho chính nó.\\r\\n\\r\\nVí dụ: 2, 3, 5, 7, 11... là các số nguyên tố. 4, 6, 8... không là số nguyên tố.\\r\\n\\r\\n**Yêu cầu:** Cho một số nguyên dương N, kiểm tra xem số đó có phải là số nguyên tố hay không.\\r\\n\\r\\n**Input** \\r\\n----------\\r\\n* Một số nguyên dương n duy nhất (1 <= n <= 10^12).\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* In ra chữ \\""""YES\\"""" nếu nó là số nguyên tố, ngược lại in ra \\""""NO\\"""".\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n**Input #1**\\r\\n```\\r\\n11\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\nYES\\r\\n```\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n4\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\nNO\\r\\n```"
8,Lũy thừa,"Viết chương trình tính lũy thừa x^n.\\r\\n\\r\\n**Input** \\r\\n----------\\r\\n* Một dòng duy nhất gồm 2 số nguyên dương x và n, mỗi số cách nhau 1 khoảng trống (1 <= x, n<= 10^9).\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* In ra kết quả x^n sau khi đã được module cho 10^9 + 7.\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n**Input #1**\\r\\n```\\r\\n2 3\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\n8\\r\\n```\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n3 2\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\n9\\r\\n```"
10,Tìm số dư,"Viết chương trình nhập vào 2 số nguyên **a** và **b**. Tìm và in ra phần dư của **a** chia **b**.\\r\\n\\r\\nInput\\r\\n----------\\r\\nGồm 1 dòng duy nhất là  2 số nguyên a và b cách nhau bởi khoảng trắng (1 <= a, b <= 10000).\\r\\n\\r\\nOutput\\r\\n----------\\r\\nMột số duy nhất là giá trị tìm được.\\r\\n\\r\\nVí dụ\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n5 2\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n1\\r\\n```"
11,Tìm số lớn nhất trong mảng,Cho mảng số nguyên A có n phần tử (1 <= n <= 1000
