id,code,name,description,time_limit,memory_limit,short_circuit,points,partial,is_public,is_manually_managed,date,og_image,summary,user_count,ac_rate,is_organization_private,group_id,license_id,is_full_markup,pdf_url,source,suggester_id,submission_source_visibility_mode,testcase_visibility_mode,allow_view_feedback,testcase_result_visibility_mode
1,a_plus_b,A Cộng B,"Viết chương trình cho phép nhập 2 số nguyên *a* và *b* từ bàn phím.\\r\\n\\r\\n**Yêu cầu:** Tính và in ra kết quả a + b.\\r\\n\\r\\n**Input**\\r\\n----------\\r\\n\\r\\n* 2 số nguyên a và b cách nhau một khoảng trống.\\r\\n\\r\\nGiới hạn:\\r\\n    \\r\\n\\r\\n* |a|, |b| <= 1000.\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* Gồm một số duy nhất là kết quả a + b.\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n1 2\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\n3\\r\\n```\\r\\n\\r\\n\\r\\n----------\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n10 16\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\n26\\r\\n```",1,262144,0,1,1,1,0,00:00.0,,,71,27.005347593582886,0,1,,0,,,,O,O,0,A
2,hello_world,Hello world,"Xin chào bạn đến với thế giới lập trình.\\r\\n\\r\\n**Yêu cầu:** In ra dòng chữ: Hello World!\\r\\n\\r\\n**Input**\\r\\n----------\\r\\n\\r\\nKhông có dữ liệu đầu vào.\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\nDòng chữ \\""""Hello World!\\"""" không có dấu nháy kép.\\r\\n\\r\\n**Ví dụ** \\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n```\\r\\n\\r\\n**Output #1**\\r\\n```\\r\\nHello World!\\r\\n```",1,262144,0,1,1,1,0,42:27.0,,,54,37.95180722891566,0,1,,0,,,,O,O,0,A
3,olp_tvu_2024_bai1,Tổng ước nguyên tố - Olympic Tin học TVU 2024,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n12\\r\\n```\\r\\n\\r\\n**Output #1**\\r\\n```\\r\\n5\\r\\n```,1,262144,0,1,1,1,0,16:51.0,,,11,60,0,2,,0,/pdf/ea53cd12-27c1-40a8-9f3c-35aa4e40b168.pdf,,,O,O,0,A
4,olp_tvu_2024_bai2,Tiền thừa - Olympic Tin học TVU 2024,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n273000\\r\\n```\\r\\n\\r\\n**Output #1**\\r\\n```\\r\\n7\\r\\n```,1,262144,0,1,1,1,0,16:51.0,,,12,70,0,2,,0,/pdf/4926a8bc-e736-4000-8e87-2e86a77eb1cd.pdf,,,O,O,0,A
5,olp_tvu_2024_bai3,Chú ếch - Olympic Tin học TVU 2024,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n4\\r\\n1 4 5 3\\r\\n```\\r\\n\\r\\n**Output #1**\\r\\n```\\r\\n4\\r\\n```,1,262144,0,2,1,1,0,45:05.0,,,11,38.888888888888886,0,2,,0,/pdf/e4f57fe1-695b-4b24-9162-18e8a0bb5369.pdf,,,O,O,0,A
6,ba_uoc_so,Ba ước số,"Cho số tự nhiên N. Yêu cầu: hãy liệt kê tất cả các số không quá N và số đó có đúng ba ước số.\\r\\nVí dụ: N = 50, có các số 4, 9, 25, 49.\\r\\n\\r\\n**Input** \\r\\n----------\\r\\n* Một số nguyên dương n duy nhất (1 <= n <= 10^12).\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* Đưa ra kết quả là danh sách các số thỏa mãn yêu cầu đề bài, mỗi số cách nhau 1 khoảng trống.\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n**Input #1**\\r\\n```\\r\\n50\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\n4 9 25 49\\r\\n```\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n200\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\n4 9 25 49 121 169\\r\\n```",1,262144,0,1,1,1,0,10:54.0,,,17,23.68421052631579,0,4,,0,,,,O,O,0,A
7,kt_so_nguyen_to,Kiểm tra số nguyên tố,"Số nguyên tố là số tự nhiên chỉ chia hết cho 1 và cho chính nó.\\r\\n\\r\\nVí dụ: 2, 3, 5, 7, 11... là các số nguyên tố. 4, 6, 8... không là số nguyên tố.\\r\\n\\r\\n**Yêu cầu:** Cho một số nguyên dương N, kiểm tra xem số đó có phải là số nguyên tố hay không.\\r\\n\\r\\n**Input** \\r\\n----------\\r\\n* Một số nguyên dương n duy nhất (1 <= n <= 10^12).\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* In ra chữ \\""""YES\\"""" nếu nó là số nguyên tố, ngược lại in ra \\""""NO\\"""".\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n**Input #1**\\r\\n```\\r\\n11\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\nYES\\r\\n```\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n4\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\nNO\\r\\n```",1,262144,0,1,1,1,0,15:08.1,,,37,30.303030303030305,0,3,,0,,,,O,O,0,A
8,luy_thua,Lũy thừa,"Viết chương trình tính lũy thừa x^n.\\r\\n\\r\\n**Input** \\r\\n----------\\r\\n* Một dòng duy nhất gồm 2 số nguyên dương x và n, mỗi số cách nhau 1 khoảng trống (1 <= x, n<= 10^9).\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* In ra kết quả x^n sau khi đã được module cho 10^9 + 7.\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n**Input #1**\\r\\n```\\r\\n2 3\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\n8\\r\\n```\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n3 2\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\n9\\r\\n```",1,262144,0,1,1,1,0,13:54.0,,,17,32.075471698113205,0,4,,0,,,,O,O,0,A
10,tim_so_du,Tìm số dư,"Viết chương trình nhập vào 2 số nguyên **a** và **b**. Tìm và in ra phần dư của **a** chia **b**.\\r\\n\\r\\nInput\\r\\n----------\\r\\nGồm 1 dòng duy nhất là  2 số nguyên a và b cách nhau bởi khoảng trắng (1 <= a, b <= 10000).\\r\\n\\r\\nOutput\\r\\n----------\\r\\nMột số duy nhất là giá trị tìm được.\\r\\n\\r\\nVí dụ\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n5 2\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n1\\r\\n```",0.5,262144,0,1,1,1,0,43:37.0,,,53,58.333333333333336,0,3,,0,,,,O,O,0,A
11,so_lon_nhat_trong_mang,Tìm số lớn nhất trong mảng,Cho mảng số nguyên A có n phần tử (1 <= n <= 1000,,,,,,,,,,,,,,,,,,,,,,,
